league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_1_years
Serie A,US Palermo,2016,19,2,6,8,24,33,77,-44,0.68,2
Serie A,AC Milan,2017,6,0,18,10,10,56,42,14,1.68,0
Serie A,AS Roma,2017,3,0,23,8,7,61,28,33,2.03,0
Serie A,FC Internazionale,2017,4,0,20,12,6,66,30,36,1.89,0
Serie A,Juventus FC,2017,1,0,30,5,3,86,24,62,2.5,0
Serie A,SS Lazio,2017,5,0,21,9,8,89,49,40,1.89,1
Serie A,SSC Napoli,2017,2,0,28,7,3,77,29,48,2.39,0
Serie A,ACF Fiorentina,2017,8,1,16,9,13,54,46,8,1.5,2
Serie A,Atalanta BC,2017,7,1,16,12,10,57,39,18,1.58,0
Serie A,Chievo Verona,2017,13,1,10,10,18,36,59,-23,1.05,2
Serie A,Genoa CFC,2017,12,1,11,8,19,33,43,-10,1.08,2
Serie A,Torino FC,2017,9,1,13,15,10,54,46,8,1.42,1
Serie A,UC Sampdoria,2017,10,1,16,6,16,56,60,-4,1.42,1
Serie A,US Sassuolo,2017,11,1,11,10,17,29,59,-30,1.13,1
Serie A,Udinese Calcio,2017,14,1,12,4,22,48,63,-15,1.05,1
Serie A,Benevento Calcio,2017,20,2,6,3,29,33,84,-51,0.55,2
Serie A,Bologna FC 1909,2017,15,2,11,6,21,40,52,-12,1.03,1
Serie A,Cagliari Calcio,2017,16,2,11,6,21,33,61,-28,1.03,2
Serie A,FC Crotone,2017,18,2,9,8,21,40,66,-26,0.92,2
Serie A,Hellas Verona,2017,19,2,7,4,27,30,78,-48,0.66,2
Serie A,SPAL,2017,17,2,8,14,16,39,59,-20,1.0,1
Serie A,AC Milan,2018,5,0,19,11,8,55,36,19,1.79,0
Serie A,AS Roma,2018,6,0,18,12,8,66,48,18,1.74,0
Serie A,Atalanta BC,2018,3,0,20,9,9,77,46,31,1.82,0
Serie A,FC Internazionale,2018,4,0,20,9,9,57,33,24,1.82,0
Serie A,Juventus FC,2018,1,0,28,6,4,70,30,40,2.37,0
Serie A,SSC Napoli,2018,2,0,24,7,7,74,36,38,2.08,1
Serie A,Bologna FC 1909,2018,10,1,11,11,16,48,56,-8,1.16,1
Serie A,Parma Calcio 1913,2018,14,1,10,11,17,41,61,-20,1.08,1
Serie A,SPAL,2018,13,1,11,9,18,44,56,-12,1.11,2
Serie A,SS Lazio,2018,8,1,17,8,13,56,46,10,1.55,0
Serie A,Torino FC,2018,7,1,16,15,7,52,37,15,1.66,2
Serie A,UC Sampdoria,2018,9,1,15,8,15,60,51,9,1.39,2
Serie A,US Sassuolo,2018,11,1,9,16,13,53,60,-7,1.13,1
Serie A,Udinese Calcio,2018,12,1,11,10,17,39,53,-14,1.13,1
Serie A,ACF Fiorentina,2018,16,2,8,17,13,47,45,2,1.08,1
Serie A,Cagliari Calcio,2018,15,2,10,11,17,36,54,-18,1.08,1
Serie A,Chievo Verona,2018,20,2,2,14,22,25,75,-50,0.45,2
Serie A,Empoli FC,2018,18,2,10,8,20,51,70,-19,1.0,2
Serie A,Frosinone Calcio,2018,19,2,5,10,23,29,69,-40,0.66,2
Serie A,Genoa CFC,2018,17,2,8,14,16,39,57,-18,1.0,2
